ranks,views,article
1,164398248,
2,24128196,Jeffrey_Dahmer
3,8720692,Rishi_Sunak
4,6045953,-
5,5896334,Cleopatra
6,5367653,House_of_the_Dragon
7,5179193,Christopher_Scarver
8,5028753,Ponniyin_Selvan:_I
10,4283583,Black_Adam_(film)
11,4029244,Kantara_(film)
12,4021192,YouTube
13,3922846,Deaths_in_2022
14,3807177,Marilyn_Monroe
15,3425662,Liz_Truss
16,3321705,ICC_Men's_T20_World_Cup
17,3007718,John_Wayne_Gacy
18,2981920,Robbie_Coltrane
19,2856377,The_Lord_of_the_Rings:_The_Rings_of_Power
20,2716289,XXX:_Return_of_Xander_Cage
21,2709091,2022_Russian_invasion_of_Ukraine
22,2667039,2022_ICC_Men's_T20_World_Cup
23,2527674,Halloween
24,2481804,Leslie_Jordan
25,2473056,Halloween_Ends
26,2350049,The_Watcher_(2022_TV_series)
27,2306602,Elon_Musk
28,2297343,Smile_(2022_film)
29,2236723,Akshata_Murty
30,2227263,Angela_Lansbury
31,2125116,Kanye_West
32,2115677,Empress_Elisabeth_of_Austria
33,2099636,Erling_Haaland
34,2092867,Evan_Peters
35,2055425,2022_FIFA_World_Cup
36,2028898,XNXX
37,2007209,Diwali
38,1955217,2022_Brazilian_general_election
39,1918555,Charles_Cullen
40,1914118,XXX_(film_series)
41,1887884,Bible
43,1832854,Jerry_Lee_Lewis
44,1816657,Elizabeth_II
45,1788290,Premier_League
46,1766993,Black_Adam
47,1764210,Wikipedia
48,1716073,Loretta_Lynn
49,1715746,Emma_D'Arcy
50,1650173,Andor_(TV_series)
51,1615663,Ansel_Adams
52,1597529,Facebook
53,1560889,Michael_J._Fox
54,1512489,Dahmer_–_Monster:_The_Jeffrey_Dahmer_Story
55,1489804,Google
56,1481896,Prime_Minister_of_the_United_Kingdom
57,1480206,Franz_Joseph_I_of_Austria
58,1476317,Cristiano_Ronaldo
59,1466201,Vikram_Vedha_(2022_film)
60,1429772,United_States
61,1388278,Rishab_Shetty
62,1376344,Luckiest_Girl_Alive_(film)
63,1364741,Jesse_Anderson
65,1361588,Charles_III
66,1358938,Andrew_Tate
67,1358865,Ted_Bundy
68,1349023,She-Hulk:_Attorney_at_Law
69,1345976,N._R._Narayana_Murthy
70,1344314,Suella_Braverman
71,1340764,Midnights
72,1335496,Don't_Worry_Darling
74,1321352,XXX_(2002_film)
75,1319670,Terrifier_2
76,1288489,Taylor_Swift
77,1286456,Lionel_Messi
78,1285104,Godfather_(2022_film)
79,1274121,India
80,1272428,Werewolf_by_Night_(TV_special)
81,1257976,XXXX_(beer)
82,1245359,Jamie_Lee_Curtis
83,1226151,Web_server_directory_index
84,1219227,Barbarian_(2022_film)
85,1211791,Elvis_Presley
86,1208404,Internet
87,1207440,Ponniyin_Selvan
88,1195838,Herschel_Walker
89,1181593,United_Kingdom
90,1172571,Hocus_Pocus_(1993_film)
91,1158023,Hocus_Pocus_2
92,1148707,Tom_Brady
93,1143431,Google_Translate
94,1124278,Brahmāstra:_Part_One_–_Shiva
95,1116472,UFC_280
96,1113935,Skathi_(moon)
97,1102546,The_Midnight_Club
98,1092919,Luckiest_Girl_Alive
99,1091568,Ed_Gein
100,1079970,Penny_Mordaunt
101,1079585,Instagram
102,1073866,Dwayne_Johnson
103,1070115,John_Fetterman
104,1069322,Hellraiser_(2022_film)
105,1067341,Aaron_Judge
106,1059877,List_of_A_Certain_Magical_Index_characters
107,1051619,Black_Panther:_Wakanda_Forever
108,1049092,Ram_Setu_(film)
109,1045981,List_of_serial_killers_by_number_of_victims
110,1043140,Halloween_(franchise)
111,1039688,Kwasi_Kwarteng
112,1037889,Gmail
113,1028919,Bigg_Boss_(Hindi_season_16)
114,1021306,Russia
115,1011792,XXXTentacion
116,1010099,Terrifier
117,1002804,CEO
118,997838,Boris_Johnson
119,994420,Extreme_Rules_(2022)
120,989200,Blonde_(2022_film)
121,972154,Tulsi_Gabbard
122,963696,Guillermo_del_Toro's_Cabinet_of_Curiosities
123,960831,Islam_Makhachev
124,946090,Russo-Ukrainian_War
125,944349,Mila_Kunis
126,937662,YouTube_Music
127,934385,Susan_Wojcicki
129,928357,Bobby_Cannavale
130,927367,Necrophilia
132,914230,Xi_Jinping
133,911514,American_Horror_Story
134,906554,YouTube_Premium
135,904954,Chainsaw_Man
136,897739,Jeremy_Hunt
137,891703,Gisele_Bündchen
138,885171,Adipurush
139,879296,Olivia_Cooke
140,873698,The_School_for_Good_and_Evil_(film)
141,873027,World_War_II
142,870355,Ukraine
143,869521,Video_hosting_service
144,862681,XXXX
145,862627,Luiz_Inácio_Lula_da_Silva
146,861953,Coolio
147,858431,The_Good_Nurse
148,857627,Laal_Singh_Chaddha
149,850258,UEFA_Champions_League
150,847598,Game_of_Thrones
151,845830,Vladimir_Putin
152,843751,Matt_Smith
153,842081,2022_Formula_One_World_Championship
154,841288,Amsterdam_(2022_film)
155,825807,World_War_I
156,824301,Olivia_Wilde
157,822841,Blink-182
158,814088,Cat
159,813190,Top_Gun:_Maverick
160,804787,Ballon_d'Or
161,802411,The_Empress_(TV_series)
162,793834,Call_of_Duty:_Modern_Warfare_II_(2022_video_game)
163,793594,Stoneman_Douglas_High_School_shooting
164,790408,Hu_Jintao
165,789597,List_of_prime_ministers_of_the_United_Kingdom
166,787868,Dancing_with_the_Stars_(American_season_31)
167,787176,"Princess_Margaret,_Countess_of_Snowdon"
168,787155,Naomi_Watts
169,780481,Julia_Roberts
170,778285,Emmett_Till
171,775639,John_Balcerzak
172,772010,Raindrop_cake
173,768120,Google_Classroom
174,767633,Twitter
175,767542,Joe_Biden
176,766400,WhatsApp
177,754322,Opinion_polling_for_the_next_United_Kingdom_general_election
178,744873,The_Walking_Dead_(season_11)
179,741665,Microsoft_Office
180,738793,List_of_highest-grossing_Indian_films
181,738751,The_Pirate_Bay
182,736059,Netflix
183,734679,Maryland
184,733370,George_VI
185,733163,X_(2022_film)
186,731642,Sex
187,728254,The_Peripheral_(TV_series)
188,727293,Australia
189,726374,Harry_Styles
190,725864,Karim_Benzema
191,725419,Bigg_Boss_(Tamil_season_6)
192,723303,List_of_Marvel_Cinematic_Universe_films
193,716032,Matthew_Perry
194,712428,Michael_Myers_(Halloween)
195,710675,JSON-LD
196,709885,Microdata_(HTML)
197,709174,Canadian_Premier_League
198,708033,RDFa
199,700116,Sarah_Jessica_Parker
200,696873,Null
201,695535,Autofellatio
202,692226,All_Quiet_on_the_Western_Front
203,692057,The_Blair_Witch_Project
204,691690,Queen_Victoria
205,690808,Ana_de_Armas
206,690718,List_of_World_Series_champions
207,688930,Microsoft_Windows
208,688735,Victor_Wembanyama
209,688557,Parag_Agrawal
210,688185,Tom_Cruise
211,686151,Brownie_(folklore)
212,682701,Adolf_Hitler
213,682341,Jennifer_Coolidge
214,681252,Michael_Jackson
215,677915,Donald_Trump
216,673985,Manchester_United_F.C.
217,672458,Kari_Lake
218,672296,Kim_Kardashian
219,671687,Crimean_Bridge
220,670071,Kathy_Najimy
221,669794,Wrexham_A.F.C.
222,667834,Bros_(film)
223,667325,China
224,665670,Alex_Jones
225,664161,A_Song_of_Ice_and_Fire
226,663071,Bullet_Train_(film)
227,662862,Edward_VIII
228,659950,Hurricane_Ian
229,659858,Japan
230,657384,2022_FIVB_Volleyball_Women's_World_Championship
231,653432,Mahatma_Gandhi
232,653257,Keanu_Reeves
233,652936,The_Legend_of_Maula_Jatt
234,651039,New_York_City
235,650118,Blunt_trauma
236,644081,Winston_Churchill
237,643446,Bette_Midler
238,643416,"Diana,_Princess_of_Wales"
239,642406,Hilary_Swank
240,636377,Ryan_Reynolds
241,631667,Halloween_Kills
242,630905,List_of_Hindi_films_of_2022
243,629993,Charles_Oliveira
244,628643,Periodic_table
245,626924,Real_Madrid_CF
246,626561,Sita_Ramam
247,626423,Singapore
248,620836,Canada
249,616742,Chloë_Grace_Moretz
250,616630,LeBron_James
251,615767,Jake_Paul_vs._Anderson_Silva
252,614507,Halloween_(1978_film)
253,614481,Margaret_Thatcher
254,614257,Mr._Harrigan's_Phone_(film)
255,612483,Bailey_Zappe
256,610422,Thank_God_(film)
257,609261,Pearl_(2022_film)
258,608754,Richard_Ramirez
